Week,Rank,Team,Left Tackle,Left Guard,Center,Right Guard,Right Tackle
5,27,CHI,Larry Borom,Cody Whitehair,Lucas Patrick,Teven Jenkins,Darnell Wright
5,28,LAR,Joe Noteboom,Steve Avila,Coleman Shelton,Dalton Risner,Rob Havenstein
5,29,PIT,Broderick Jones,Isaac Seumalo,Mason Cole,Nate Herbig,Chukwuma Okorafor
5,30,TEN,Andre Dillard,Peter Skoronski,Aaron Brewer,Daniel Brunskill,Chris Hubbard
5,31,NYG,Josh Ezeudu,Ben Bredeson,Mark Glowinski,Marcus McKethan,Evan Neal
5,32,SEA,Stone Forsythe,Evan Brown,Olu Oluwatimi,Anthony Bradford,Jake Curhan
6,1,PHI,Jordan Mailata,Landon Dickerson,Jason Kelce,Sua Opeta,Lane Johnson
6,2,DAL,Tyron Smith,Tyler Smith,Tyler Biadasz,Zack Martin,Terence Steele
6,3,DET,Taylor Decker,Graham Glascow,Frank Ragnow,Hal. Vaitai,Penei Sewell
6,4,KCC,Donovan Smith,Joe Thuney,Creed Humphrey,Trey Smith,Jawaan Taylor
6,5,ATL,Jake Matthews,Matthew Bergeron,Drew Dalman,Chris Lindstrom,Kaleb McGary
6,6,BAL,Ronnie Stanley,John Simpson,Tyler Linderbaum,Kevin Zeitler,Morgan Moses
6,7,NOS,Trevor Penning,James Hurst,Erik McCoy,Cesar Ruiz,Ryan Ramczyk
6,8,SFO,Trent Williams,Aaron Banks,Jake Brendel,Spencer Burford,Colton McKivitz
6,9,BUF,Dion Dawkins,Connor McGovern,Mitch Morse,O'Cyrus Torrence,Spencer Brown
6,10,TBB,Tristan Wirfs,Matt Feiler,Robert Hainsey,Cody Mauch,Luke Goedeke
6,11,DEN,Garett Bolles,Ben Powers,Lloyd Cushenberry,Quinn Meinerz,Mike McGlinchey
6,12,HOU,Laremy Tunsil,Tytus Howard,Jarrett Patterson,Shaq Mason,George Fant
6,13,MIN,Christian Darrisaw,Ezra Cleveland,Garrett Bradbury,Ed Ingram,Brian O'Neill
6,14,CIN,Orlando Brown,Cordell Volson,Ted Karras,Alex Cappa,Jonah Williams
6,15,CAR,Ikem Ekwonu,Calvin Throckmorton,Bradley Bozeman,Austin Corbett,Taylor Moton
6,16,JAC,Cam Robinson,Walker Little,Luke Fortner,Brandon Scherff,Anton Harrison
6,17,LVR,Kolton Miller,Dylan Parham,Andre James,Greg Van Roten,Jermaine Eluemunor
6,18,IND,Blake Freeland,Quenton Nelson,Ryan Kelly,Will Fries,Braden Smith
6,19,LAC,Rashawn Slater,Zion Johnson,Will Clapp,Jamaree Salyer,Trey Pipkins
6,20,NEP,Trent Brown,Atonio Mafi,David Andrews,Mike Onwenu,Vederian Lowe
6,21,ARZ,D.J. Humphries,Elijah Wilkinson,Hjalte Froholdt,Will Hernandez,Paris Johnson
6,22,GBP,Rasheed Walker,Elgton Jenkins,Josh Myers,Jon Runyan,Zach Tom
6,23,CLE,Jedrick Wills,Luke Wypler,Nick Harris,Wyatt Teller,Dawand Jones
6,24,MIA,Kendall Lamm,Isaiah Wynn,Connor Williams,Robert Hunt,Austin Jackson
6,25,LAR,Joe Noteboom,Steve Avila,Coleman Shelton,Dalton Risner,Rob Havenstein
6,26,SEA,Charles Cross,Jason Peters,Olu Oluwatimi,Anthony Bradford,Jake Curhan
6,27,CHI,Larry Borom,Cody Whitehair,Lucas Patrick,Teven Jenkins,Darnell Wright
6,28,WAS,Charles Leno,Saahdiq Charles,Nick Gates,Sam Cosmi,Andrew Wyile
6,29,NYJ,Mekhi Becton,Laken Tomlinson,Connor McGovern,Joe Tippmann,Max Mitchell
6,30,PIT,Broderick Jones,Isaac Seumalo,Mason Cole,Nate Herbig,Chukwuma Okorafor
6,31,TEN,Andre Dillard,Peter Skoronski,Aaron Brewer,Daniel Brunskill,Chris Hubbard
6,32,NYG,Josh Ezeudu,Ben Bredeson,Mark Glowinski,Marcus McKethan,Evan Neal
7,1,DAL,Tyron Smith,Tyler Smith,Tyler Biadasz,Zack Martin,Terence Steele
7,2,KCC,Donovan Smith,Joe Thuney,Creed Humphrey,Trey Smith,Jawaan Taylor
7,3,PHI,Jordan Mailata,Landon Dickerson,Jason Kelce,Sua Opeta,Jack Driscoll
7,4,DET,Taylor Decker,Kayode Awosika,Frank Ragnow,Graham Glasgow,Penei Sewell
7,5,ATL,Jake Matthews,Matthew Bergeron,Drew Dalman,Chris Lindstrom,Kaleb McGary
7,6,BAL,Ronnie Stanley,John Simpson,Tyler Linderbaum,Kevin Zeitler,Morgan Moses
7,7,SFO,Trent Williams,Aaron Banks,Jake Brendel,Spencer Burford,Colton McKivitz
7,8,BUF,Dion Dawkins,Connor McGovern,Mitch Morse,O'Cyrus Torrence,Spencer Brown
7,9,CLE,Jedrick Wills,Joel Bitonio,Nick Harris,Wyatt Teller,Dawand Jones
7,10,TBB,Tristan Wirfs,Matt Feiler,Robert Hainsey,Cody Mauch,Luke Goedeke
7,11,DEN,Garett Bolles,Ben Powers,Lloyd Cushenberry,Quinn Meinerz,Mike McGlinchey
7,12,NOS,Andrus Peat,Nick Saldiveri,Erik McCoy,Cesar Ruiz,Cam Erving
7,13,HOU,Laremy Tunsil,Tytus Howard,Jarrett Patterson,Shaq Mason,George Fant
7,14,JAX,Cam Robinson,Tyler Shatley,Luke Fortner,Brandon Scherff,Anton Harrison
7,15,MIN,Christian Darrisaw,Dalton Risner,Garrett Bradbury,Ed Ingram,Brian O'Neill
7,16,CIN,Orlando Brown,Cordell Volson,Ted Karras,Alex Cappa,Jonah Williams
7,17,LAC,Rashawn Slater,Zion Johnson,Will Clapp,Jamaree Salyer,Trey Pipkins
7,18,CAR,Ikem Ekwonu,Cade Mays,Bradley Bozeman,Austin Corbett,Taylor Moton
7,19,LVR,Kolton Miller,Dylan Parham,Andre James,Greg Van Roten,Jermaine Eluemunor
7,20,IND,Bernhard Raimann,Quenton Nelson,Ryan Kelly,Will Fries,Blake Freeland
7,21,NEP,Trent Brown,Atonio Mafi,David Andrews,Sidy Sow,Vederian Lowe
7,22,ARZ,D.J. Humphries,Elijah Wilkinson,Hjalte Froholdt,Will Hernandez,Paris Johnson
7,23,PIT,Dan Moore,Isaac Seumalo,Mason Cole,James Daniels,Chukwuma Okorafor
7,24,GBP,Rasheed Walker,Elgton Jenkins,Josh Myers,Jon Runyan,Zach Tom
7,25,MIA,Kendall Lamm,Isaiah Wynn,Connor Williams,Robert Hunt,Austin Jackson
7,26,SEA,Charles Cross,Anthony Bradford,Evan Brown,Phil Haynes,Jake Curhan
7,27,LAR,Aleric Jackson,Steve Avila,Coleman Shelton,Kevin Dotson,Rob Havenstein
7,28,WAS,Charles Leno,Saahdiq Charles,Nick Gates,Sam Cosmi,Andrew Wyile
7,29,CHI,Larry Borom,Cody Whitehair,Lucas Patrick,Teven Jenkins,Darnell Wright
7,30,NYJ,Mekhi Becton,Laken Tomlinson,Connor McGovern,Wes Schweitzer,Max Mitchell
7,31,TEN,Andre Dillard,Peter Skoronski,Aaron Brewer,Daniel Brunskill,Chris Hubbard
7,32,NYG,Tyre Phillips,Mark Glowinski,Ben Bredeson,Marcus McKethan,Evan Neal
8,1,PHI,Jordan Mailata,Landon Dickerson,Jason Kelce,Sua Opeta,Lane Johnson
8,2,DAL,Tyron Smith,Tyler Smith,Tyler Biadasz,Zack Martin,Terence Steele
8,3,KCC,Donovan Smith,Joe Thuney,Creed Humphrey,Trey Smith,Jawaan Taylor
8,4,DET,Taylor Decker,Kayode Awosika,Frank Ragnow,Graham Glasgow,Penei Sewell
8,5,NOS,Andrus Peat,Max Garcia,Erik McCoy,Cesar Ruiz,Ryan Ramcyzk
8,6,ATL,Jake Matthews,Matthew Bergeron,Drew Dalman,Chris Lindstrom,Kaleb McGary
8,7,BAL,Ronnie Stanley,John Simpson,Tyler Linderbaum,Kevin Zeitler,Morgan Moses
8,8,BUF,Dion Dawkins,Connor McGovern,Mitch Morse,O'Cyrus Torrence,Spencer Brown
8,9,NEP,Trent Brown,Cole Strange,David Andrews,Sidy Sow,Michael Onwenu
8,10,CLE,Jedrick Wills,Joel Bitonio,Nick Harris,Wyatt Teller,Dawand Jones
8,11,DEN,Garett Bolles,Ben Powers,Lloyd Cushenberry,Quinn Meinerz,Mike McGlinchey
8,12,TBB,Tristan Wirfs,Aaron Stinnie,Robert Hainsey,Cody Mauch,Luke Goedeke
8,13,HOU,Laremy Tunsil,Tytus Howard,Jarrett Patterson,Shaq Mason,George Fant
8,14,JAX,Cam Robinson,Tyler Shatley,Luke Fortner,Brandon Scherff,Anton Harrison
8,15,MIN,Christian Darrisaw,Dalton Risner,Garrett Bradbury,Ed Ingram,Brian O'Neill
8,16,LAC,Rashawn Slater,Zion Johnson,Will Clapp,Jamaree Salyer,Trey Pipkins
8,17,CIN,Orlando Brown,Cordell Volson,Ted Karras,Alex Cappa,Jonah Williams
8,18,CAR,Ikem Ekwonu,Chandler Zavala,Bradley Bozeman,Austin Corbett,Taylor Moton
8,19,LVR,Kolton Miller,Dylan Parham,Andre James,Greg Van Roten,Jermaine Eluemunor
8,20,IND,Bernhard Raimann,Quenton Nelson,Ryan Kelly,Will Fries,Blake Freeland
8,21,NYG,Anthony Thomas,Ben Bredeson,John Michael Schmitz,Mark Glowinski,Tyre Phillips
8,22,PIT,Dan Moore,Isaac Seumalo,Mason Cole,James Daniels,Chukwuma Okorafor
8,23,ARZ,D.J. Humphries,Trystan Colon,Hjalte Froholdt,Will Hernandez,Paris Johnson
8,24,GBP,Rasheed Walker,Elgton Jenkins,Josh Myers,Jon Runyan,Zach Tom
8,25,SEA,Charles Cross,Damien Lewis,Evan Brown,Anthony Bradford,Stone Forsythe
8,26,LAR,Aleric Jackson,Steve Avila,Coleman Shelton,Kevin Dotson,Rob Havenstein
8,27,CHI,Larry Borom,Cody Whitehair,Lucas Patrick,Teven Jenkins,Darnell Wright
8,28,WAS,Charles Leno,Ricky Stromberg,Nick Gates,Sam Cosmi,Andrew Wyile
8,29,SFO,Jaylon Moore,Aaron Banks,Jake Brendel,Spencer Burford,Colton McKivitz
8,30,NYJ,Mekhi Becton,Laken Tomlinson,Connor McGovern,Wes Schweitzer,Max Mitchell
8,31,TEN,Andre Dillard,Peter Skoronski,Aaron Brewer,Daniel Brunskill,Chris Hubbard
8,32,MIA,Kendall Lamm,Lester Cotton,Liam Eichenberg,Robert Hunt,Austin Jackson
9,1,PHI,Jordan Mailata,Landon Dickerson,Jason Kelce,Cam Jurgens,Lane Johnson
9,2,KCC,Donovan Smith,Joe Thuney,Creed Humphrey,Trey Smith,Jawaan Taylor
9,3,DET,Taylor Decker,Jonah Jackson,Frank Ragnow,Graham Glasgow,Penei Sewell
9,4,NOS,Andrus Peat,Max Garcia,Erik McCoy,Cesar Ruiz,Ryan Ramcyzk
9,5,DAL,Chuma Edoga,Tyler Smith,Tyler Biadasz,Zack Martin,Terence Steele
9,6,ATL,Jake Matthews,Matthew Bergeron,Drew Dalman,Chris Lindstrom,Kaleb McGary
9,7,BAL,Ronnie Stanley,John Simpson,Tyler Linderbaum,Kevin Zeitler,Morgan Moses
9,8,SFO,Trent Williams,Aaron Banks,Jake Brendel,Spencer Burford,Colton McKivitz
9,9,BUF,Dion Dawkins,Connor McGovern,Mitch Morse,O'Cyrus Torrence,Spencer Brown
9,10,NEP,Trent Brown,Cole Strange,David Andrews,Sidy Sow,Michael Onwenu
9,11,CLE,Jedrick Wills,Joel Bitonio,Nick Harris,Wyatt Teller,James Hudson
9,12,DEN,Garett Bolles,Ben Powers,Lloyd Cushenberry,Quinn Meinerz,Mike McGlinchey
9,13,JAX,Cam Robinson,Ezra Cleveland,Luke Fortner,Brandon Scherff,Anton Harrison
9,14,TBB,Tristan Wirfs,Aaron Stinnie,Robert Hainsey,Cody Mauch,Luke Goedeke
9,15,MIN,Christian Darrisaw,Dalton Risner,Garrett Bradbury,Ed Ingram,Brian O'Neill
9,16,MIA,Terron Armstead,Liam Eichenberg,Connor Williams,Robert Hunt,Austin Jackson
9,17,HOU,Laremy Tunsil,Tytus Howard,Michael Deiter,Shaq Mason,George Fant
9,18,IND,Bernhard Raimann,Quenton Nelson,Ryan Kelly,Will Fries,Blake Freeland
9,19,LAC,Rashawn Slater,Zion Johnson,Will Clapp,Jamaree Salyer,Trey Pipkins
9,20,CIN,Orlando Brown,Cordell Volson,Ted Karras,Alex Cappa,Jonah Williams
9,21,CAR,Ikem Ekwonu,Chandler Zavala,Bradley Bozeman,Austin Corbett,Taylor Moton
9,22,NYG,Andrew Thomas,Ben Bredeson,John Michael Schmitz,Mark Glowinski,Tyre Phillips
9,23,LVR,Kolton Miller,Dylan Parham,Andre James,Greg Van Roten,Jermaine Eluemunor
9,24,PIT,Dan Moore,Isaac Seumalo,Mason Cole,James Daniels,Chukwuma Okorafor
9,25,GBP,Yosh Nijman,Elgton Jenkins,Josh Myers,Jon Runyan,Zach Tom
9,26,SEA,Charles Cross,Damien Lewis,Evan Brown,Anthony Bradford,Stone Forsythe
9,27,ARZ,D.J. Humphries,Dennis Daley,Hjalte Froholdt,Will Hernandez,Paris Johnson
9,28,CHI,Larry Borom,Cody Whitehair,Lucas Patrick,Teven Jenkins,Darnell Wright
9,29,WAS,Charles Leno,Chris Paul,Nick Gates,Sam Cosmi,Andrew Wyile
9,30,NYJ,Duane Brown,Laken Tomlinson,Joe Tippmann,Billy Turner,Mekhi Becton
9,31,LAR,Aleric Jackson,Steve Avila,Coleman Shelton,Kevin Dotson,Joe Noteboom
9,32,TEN,Andre Dillard,Peter Skoronski,Aaron Brewer,Daniel Brunskill,Nicholas Peter-Frere
10,1,PHI,Jordan Mailata,Landon Dickerson,Jason Kelce,Tyler Steen,Lane Johnson
10,2,DAL,Tyler Smith,Tyler Smith,Tyler Biadasz,Zack Martin,Terence Steele
10,3,DET,Taylor Decker,Jonah Jackson,Frank Ragnow,Graham Glasgow,Penei Sewell
10,4,KCC,Donovan Smith,Joe Thuney,Creed Humphrey,Trey Smith,Jawaan Taylor
10,5,NOS,Andrus Peat,James Hurst,Erik McCoy,Cesar Ruiz,Ryan Ramcyzk
10,6,IND,Bernhard Raimann,Quenton Nelson,Ryan Kelly,Will Fries,Braden Smith
10,7,ATL,Jake Matthews,Matthew Bergeron,Drew Dalman,Chris Lindstrom,Kaleb McGary
10,8,BAL,Ronnie Stanley,John Simpson,Tyler Linderbaum,Kevin Zeitler,Morgan Moses
10,9,BUF,Dion Dawkins,Connor McGovern,Mitch Morse,O'Cyrus Torrence,Spencer Brown
10,10,NEP,Trent Brown,Cole Strange,David Andrews,Sidy Sow,Michael Onwenu
10,11,DEN,Garett Bolles,Ben Powers,Lloyd Cushenberry,Quinn Meinerz,Mike McGlinchey
10,12,JAX,Cam Robinson,Ezra Cleveland,Luke Fortner,Brandon Scherff,Anton Harrison
10,13,TBB,Tristan Wirfs,Aaron Stinnie,Robert Hainsey,Cody Mauch,Luke Goedeke
10,14,MIN,Christian Darrisaw,Dalton Risner,Garrett Bradbury,Ed Ingram,Brian O'Neill
10,15,MIA,Terron Armstead,Liam Eichenberg,Connor Williams,Robert Hunt,Austin Jackson
10,16,HOU,Laremy Tunsil,Tytus Howard,Michael Deiter,Shaq Mason,George Fant
10,17,CAR,Ikem Ekwonu,Calvin Throckmorton,Bradley Bozeman,Austin Corbett,Taylor Moton
10,18,LAC,Rashawn Slater,Zion Johnson,Will Clapp,Jamaree Salyer,Trey Pipkins
10,19,CIN,Orlando Brown,Cordell Volson,Ted Karras,Alex Cappa,Jonah Williams
10,20,CLE,James Hudson,Joel Bitonio,Ethan Pocic,Wyatt Teller,Dawand Jones
10,21,NYG,Andrew Thomas,Ben Bredeson,John Michael Schmitz,Mark Glowinski,Tyre Phillips
10,22,LVR,Kolton Miller,Dylan Parham,Andre James,Greg Van Roten,Jermaine Eluemunor
10,23,PIT,Dan Moore,Isaac Seumalo,Mason Cole,James Daniels,Chukwuma Okorafor
10,24,CHI,Braxton Jones,Teven Jenkins,Lucas Patrick,Cody Whitehair,Darnell Wright
10,25,SEA,Charles Cross,Damien Lewis,Evan Brown,Anthony Bradford,Stone Forsythe
10,26,GBP,Yosh Nijman,Elgton Jenkins,Josh Myers,Sean Rhyan,Zach Tom
10,27,WAS,Charles Leno,Chris Paul,Tyler Larsen,Sam Cosmi,Andrew Wyile
10,28,NYJ,Duane Brown,Laken Tomlinson,Joe Tippmann,Max Mitchell,Mekhi Becton
10,29,SFO,Jaylon Moore,Aaron Banks,Jake Brendel,Spencer Burford,Colton McKivitz
10,30,ARZ,Kelvin Beachum,Dennis Daley,Hjalte Froholdt,Carter O'Donnell,Paris Johnson
10,31,LAR,Aleric Jackson,Steve Avila,Coleman Shelton,Kevin Dotson,Joe Noteboom
10,32,TEN,Andre Dillard,Peter Skoronski,Aaron Brewer,Daniel Brunskill,Chris Hubbard
