Name,Position,Roster Position,TeamAbbrev,Week,Salary,%Drafted,FPTS,Non_TD_FPTS,TD_FPTS
George Kittle,TE,TE/FLEX,SF,1,5800,0.0,0.0,0.0,0.0
Jordan Addison,WR,WR/FLEX,MIN,1,5800,0.0,0.0,0.0,0.0
Isiah Pacheco,RB,RB/FLEX,KC,1,5700,0.0,0.0,0.0,0.0
Jaylen Waddle,WR,WR/FLEX,MIA,1,5700,0.0,0.0,0.0,0.0
Bryce Young,QB,QB,CAR,1,5700,0.0,0.0,0.0,0.0
Tony Pollard,RB,RB/FLEX,TEN,1,5700,0.0,0.0,0.0,0.0
David Montgomery,RB,RB/FLEX,DET,1,5700,0.0,0.0,0.0,0.0
Zay Flowers,WR,WR/FLEX,BAL,1,5700,0.0,0.0,0.0,0.0
Caleb Williams,QB,QB,CHI,1,5700,0.0,0.0,0.0,0.0
Michael Penix Jr.,QB,QB,ATL,1,5600,0.0,0.0,0.0,0.0
Chris Godwin Jr.,WR,WR/FLEX,TB,1,5600,0.0,0.0,0.0,0.0
Tyrone Tracy Jr.,RB,RB/FLEX,NYG,1,5600,0.0,0.0,0.0,0.0
Jerome Ford,RB,RB/FLEX,CLE,1,5600,0.0,0.0,0.0,0.0
Khalil Shakir,WR,WR/FLEX,BUF,1,5600,0.0,0.0,0.0,0.0
Javonte Williams,RB,RB/FLEX,DAL,1,5500,0.0,0.0,0.0,0.0
Xavier Worthy,WR,WR/FLEX,KC,1,5500,0.0,0.0,0.0,0.0
Drake Maye,QB,QB,NE,1,5500,0.0,0.0,0.0,0.0
TreVeyon Henderson,RB,RB/FLEX,NE,1,5500,0.0,0.0,0.0,0.0
Marvin Harrison Jr.,WR,WR/FLEX,ARI,1,5500,0.0,0.0,0.0,0.0
J.K. Dobbins,RB,RB/FLEX,DEN,1,5500,0.0,0.0,0.0,0.0
Jameson Williams,WR,WR/FLEX,DET,1,5500,0.0,0.0,0.0,0.0
J.J. McCarthy,QB,QB,MIN,1,5500,0.0,0.0,0.0,0.0
Aaron Jones Sr.,RB,RB/FLEX,MIN,1,5500,0.0,0.0,0.0,0.0
Rhamondre Stevenson,RB,RB/FLEX,NE,1,5400,0.0,0.0,0.0,0.0
Justin Fields,QB,QB,NYJ,1,5400,0.0,0.0,0.0,0.0
Travis Etienne Jr.,RB,RB/FLEX,JAX,1,5400,0.0,0.0,0.0,0.0
Jerry Jeudy,WR,WR/FLEX,CLE,1,5400,0.0,0.0,0.0,0.0
Jayden Reed,WR,WR/FLEX,GB,1,5400,0.0,0.0,0.0,0.0
Stefon Diggs,WR,WR/FLEX,NE,1,5300,0.0,0.0,0.0,0.0
Kaleb Johnson,RB,RB/FLEX,PIT,1,5300,0.0,0.0,0.0,0.0
Trevor Lawrence,QB,QB,JAX,1,5300,0.0,0.0,0.0,0.0
Sam Darnold,QB,QB,SEA,1,5300,0.0,0.0,0.0,0.0
Isaac Guerendo,RB,RB/FLEX,SF,1,5300,0.0,0.0,0.0,0.0
Cooper Kupp,WR,WR/FLEX,SEA,1,5300,0.0,0.0,0.0,0.0
Jordan Mason,RB,RB/FLEX,MIN,1,5300,0.0,0.0,0.0,0.0
Travis Kelce,TE,TE/FLEX,KC,1,5200,0.0,0.0,0.0,0.0
Geno Smith,QB,QB,LV,1,5200,0.0,0.0,0.0,0.0
Aaron Rodgers,QB,QB,PIT,1,5200,0.0,0.0,0.0,0.0
Jaylen Warren,RB,RB/FLEX,PIT,1,5200,0.0,0.0,0.0,0.0
Deebo Samuel Sr.,WR,WR/FLEX,WAS,1,5200,0.0,0.0,0.0,0.0
Tetairoa McMillan,WR,WR/FLEX,CAR,1,5200,0.0,0.0,0.0,0.0
Nick Chubb,RB,RB/FLEX,HOU,1,5200,0.0,0.0,0.0,0.0
Woody Marks,RB,RB/FLEX,HOU,1,5200,0.0,0.0,0.0,0.0
Keon Coleman,WR,WR/FLEX,BUF,1,5200,0.0,0.0,0.0,0.0
Jakobi Meyers,WR,WR/FLEX,LV,1,5100,0.0,0.0,0.0,0.0
Rachaad White,RB,RB/FLEX,TB,1,5100,0.0,0.0,0.0,0.0
Daniel Jones,QB,QB,IND,1,5100,0.0,0.0,0.0,0.0
Anthony Richardson Sr.,QB,QB,IND,1,5100,0.0,0.0,0.0,0.0
Chris Olave,WR,WR/FLEX,NO,1,5100,0.0,0.0,0.0,0.0
Cam Skattebo,RB,RB/FLEX,NYG,1,5100,0.0,0.0,0.0,0.0
Quinshon Judkins,RB,RB/FLEX,CLE,1,5100,0.0,0.0,0.0,0.0
Rome Odunze,WR,WR/FLEX,CHI,1,5100,0.0,0.0,0.0,0.0
Jaydon Blue,RB,RB/FLEX,DAL,1,5000,0.0,0.0,0.0,0.0
Najee Harris,RB,RB/FLEX,LAC,1,5000,0.0,0.0,0.0,0.0
Raheem Mostert,RB,RB/FLEX,LV,1,5000,0.0,0.0,0.0,0.0
Tyler Allgeier,RB,RB/FLEX,ATL,1,5000,0.0,0.0,0.0,0.0
Darnell Mooney,WR,WR/FLEX,ATL,1,5000,0.0,0.0,0.0,0.0
Russell Wilson,QB,QB,NYG,1,5000,0.0,0.0,0.0,0.0
Rico Dowdle,RB,RB/FLEX,CAR,1,5000,0.0,0.0,0.0,0.0
Travis Hunter,WR,WR/FLEX,JAX,1,5000,0.0,0.0,0.0,0.0
Cam Ward,QB,QB,TEN,1,5000,0.0,0.0,0.0,0.0
Calvin Ridley,WR,WR/FLEX,TEN,1,5000,0.0,0.0,0.0,0.0
Sam LaPorta,TE,TE/FLEX,DET,1,5000,0.0,0.0,0.0,0.0
Kenny Pickett,QB,QB,LV,1,4900,0.0,0.0,0.0,0.0
Braelon Allen,RB,RB/FLEX,NYJ,1,4900,0.0,0.0,0.0,0.0
Jaylen Wright,RB,RB/FLEX,MIA,1,4900,0.0,0.0,0.0,0.0
Michael Pittman Jr.,WR,WR/FLEX,IND,1,4900,0.0,0.0,0.0,0.0
Joe Flacco,QB,QB,CLE,1,4900,0.0,0.0,0.0,0.0
Dillon Gabriel,QB,QB,CLE,1,4900,0.0,0.0,0.0,0.0
Shedeur Sanders,QB,QB,CLE,1,4900,0.0,0.0,0.0,0.0
Dylan Sampson,RB,RB/FLEX,CLE,1,4900,0.0,0.0,0.0,0.0
Zach Charbonnet,RB,RB/FLEX,SEA,1,4900,0.0,0.0,0.0,0.0
Jauan Jennings,WR,WR/FLEX,SF,1,4900,0.0,0.0,0.0,0.0
Matthew Golden,WR,WR/FLEX,GB,1,4900,0.0,0.0,0.0,0.0
Mark Andrews,TE,TE/FLEX,BAL,1,4900,0.0,0.0,0.0,0.0
DJ Giddens,RB,RB/FLEX,IND,1,4800,0.0,0.0,0.0,0.0
Spencer Rattler,QB,QB,NO,1,4800,0.0,0.0,0.0,0.0
Tyler Shough,QB,QB,NO,1,4800,0.0,0.0,0.0,0.0
Jake Haener,QB,QB,NO,1,4800,0.0,0.0,0.0,0.0
Austin Ekeler,RB,RB/FLEX,WAS,1,4800,0.0,0.0,0.0,0.0
Jaleel McLaughlin,RB,RB/FLEX,DEN,1,4800,0.0,0.0,0.0,0.0
Brandon Aiyuk,WR,WR/FLEX,SF,1,4800,0.0,0.0,0.0,0.0
Jayden Higgins,WR,WR/FLEX,HOU,1,4800,0.0,0.0,0.0,0.0
Kareem Hunt,RB,RB/FLEX,KC,1,4700,0.0,0.0,0.0,0.0
Keenan Allen,WR,WR/FLEX,LAC,1,4700,0.0,0.0,0.0,0.0
Andy Dalton,QB,QB,CAR,1,4700,0.0,0.0,0.0,0.0
Trayveon Williams,RB,RB/FLEX,CLE,1,4700,0.0,0.0,0.0,0.0
David Njoku,TE,TE/FLEX,CLE,1,4700,0.0,0.0,0.0,0.0
Tyjae Spears,RB,RB/FLEX,TEN,1,4700,0.0,0.0,0.0,0.0
MarShawn Lloyd,RB,RB/FLEX,GB,1,4700,0.0,0.0,0.0,0.0
Dameon Pierce,RB,RB/FLEX,HOU,1,4700,0.0,0.0,0.0,0.0
Christian Kirk,WR,WR/FLEX,HOU,1,4700,0.0,0.0,0.0,0.0
Rashod Bateman,WR,WR/FLEX,BAL,1,4700,0.0,0.0,0.0,0.0
Adam Thielen,WR,WR/FLEX,MIN,1,4700,0.0,0.0,0.0,0.0
Amari Cooper,WR,WR/FLEX,LV,1,4600,0.0,0.0,0.0,0.0
Kirk Cousins,QB,QB,ATL,1,4600,0.0,0.0,0.0,0.0
Emeka Egbuka,WR,WR/FLEX,TB,1,4600,0.0,0.0,0.0,0.0
Josh Downs,WR,WR/FLEX,IND,1,4600,0.0,0.0,0.0,0.0
Trey Benson,RB,RB/FLEX,ARI,1,4600,0.0,0.0,0.0,0.0
Rashid Shaheed,WR,WR/FLEX,NO,1,4600,0.0,0.0,0.0,0.0
Devin Singletary,RB,RB/FLEX,NYG,1,4600,0.0,0.0,0.0,0.0
Tank Bigsby,RB,RB/FLEX,JAX,1,4600,0.0,0.0,0.0,0.0
Malik Willis,QB,QB,GB,1,4600,0.0,0.0,0.0,0.0
Luther Burden III,WR,WR/FLEX,CHI,1,4600,0.0,0.0,0.0,0.0
T.J. Hockenson,TE,TE/FLEX,MIN,1,4600,0.0,0.0,0.0,0.0
Joe Milton III,QB,QB,DAL,1,4500,0.0,0.0,0.0,0.0
Miles Sanders,RB,RB/FLEX,DAL,1,4500,0.0,0.0,0.0,0.0
Joshua Dobbs,QB,QB,NE,1,4500,0.0,0.0,0.0,0.0
Antonio Gibson,RB,RB/FLEX,NE,1,4500,0.0,0.0,0.0,0.0
Marcus Mariota,QB,QB,WAS,1,4500,0.0,0.0,0.0,0.0
Jaxson Dart,QB,QB,NYG,1,4500,0.0,0.0,0.0,0.0
Jameis Winston,QB,QB,NYG,1,4500,0.0,0.0,0.0,0.0
Wan'Dale Robinson,WR,WR/FLEX,NYG,1,4500,0.0,0.0,0.0,0.0
Trevor Etienne,RB,RB/FLEX,CAR,1,4500,0.0,0.0,0.0,0.0
Marvin Mims Jr.,WR,WR/FLEX,DEN,1,4500,0.0,0.0,0.0,0.0
Evan Engram,TE,TE/FLEX,DEN,1,4500,0.0,0.0,0.0,0.0
Ricky Pearsall,WR,WR/FLEX,SF,1,4500,0.0,0.0,0.0,0.0
Davis Mills,QB,QB,HOU,1,4500,0.0,0.0,0.0,0.0
Blake Corum,RB,RB/FLEX,LAR,1,4500,0.0,0.0,0.0,0.0
Jarquez Hunter,RB,RB/FLEX,LAR,1,4500,0.0,0.0,0.0,0.0
Joshua Palmer,WR,WR/FLEX,BUF,1,4500,0.0,0.0,0.0,0.0
Tyrod Taylor,QB,QB,NYJ,1,4400,0.0,0.0,0.0,0.0
Calvin Austin III,WR,WR/FLEX,PIT,1,4400,0.0,0.0,0.0,0.0
Alexander Mattison,RB,RB/FLEX,MIA,1,4400,0.0,0.0,0.0,0.0
Alec Pierce,WR,WR/FLEX,IND,1,4400,0.0,0.0,0.0,0.0
Tyler Warren,TE,TE/FLEX,IND,1,4400,0.0,0.0,0.0,0.0
Jacoby Brissett,QB,QB,ARI,1,4400,0.0,0.0,0.0,0.0
Bhayshul Tuten,RB,RB/FLEX,JAX,1,4400,0.0,0.0,0.0,0.0
Jake Browning,QB,QB,CIN,1,4400,0.0,0.0,0.0,0.0
Pierre Strong Jr.,RB,RB/FLEX,CLE,1,4400,0.0,0.0,0.0,0.0
Cedric Tillman,WR,WR/FLEX,CLE,1,4400,0.0,0.0,0.0,0.0
Kenny McIntosh,RB,RB/FLEX,SEA,1,4400,0.0,0.0,0.0,0.0
Jimmy Garoppolo,QB,QB,LAR,1,4400,0.0,0.0,0.0,0.0
Trey Lance,QB,QB,LAC,1,4300,0.0,0.0,0.0,0.0
Quentin Johnston,WR,WR/FLEX,LAC,1,4300,0.0,0.0,0.0,0.0
Kyle Williams,WR,WR/FLEX,NE,1,4300,0.0,0.0,0.0,0.0
Kyle Pitts Sr.,TE,TE/FLEX,ATL,1,4300,0.0,0.0,0.0,0.0
Zach Wilson,QB,QB,MIA,1,4300,0.0,0.0,0.0,0.0
Khalil Herbert,RB,RB/FLEX,IND,1,4300,0.0,0.0,0.0,0.0
Kendre Miller,RB,RB/FLEX,NO,1,4300,0.0,0.0,0.0,0.0
Nick Mullens,QB,QB,JAX,1,4300,0.0,0.0,0.0,0.0
Dyami Brown,WR,WR/FLEX,JAX,1,4300,0.0,0.0,0.0,0.0
Jarrett Stidham,QB,QB,DEN,1,4300,0.0,0.0,0.0,0.0
Drew Lock,QB,QB,SEA,1,4300,0.0,0.0,0.0,0.0
Jalen Milroe,QB,QB,SEA,1,4300,0.0,0.0,0.0,0.0
Jordan James,RB,RB/FLEX,SF,1,4300,0.0,0.0,0.0,0.0
Romeo Doubs,WR,WR/FLEX,GB,1,4300,0.0,0.0,0.0,0.0
Will Shipley,RB,RB/FLEX,PHI,1,4200,0.0,0.0,0.0,0.0
Phil Mafah,RB,RB/FLEX,DAL,1,4200,0.0,0.0,0.0,0.0
Aidan O'Connell,QB,QB,LV,1,4200,0.0,0.0,0.0,0.0
DeMario Douglas,WR,WR/FLEX,NE,1,4200,0.0,0.0,0.0,0.0
Mason Rudolph,QB,QB,PIT,1,4200,0.0,0.0,0.0,0.0
Kenneth Gainwell,RB,RB/FLEX,PIT,1,4200,0.0,0.0,0.0,0.0
Jonnu Smith,TE,TE/FLEX,PIT,1,4200,0.0,0.0,0.0,0.0
Ollie Gordon II,RB,RB/FLEX,MIA,1,4200,0.0,0.0,0.0,0.0
Michael Wilson,WR,WR/FLEX,ARI,1,4200,0.0,0.0,0.0,0.0
Xavier Legette,WR,WR/FLEX,CAR,1,4200,0.0,0.0,0.0,0.0
Mac Jones,QB,QB,SF,1,4200,0.0,0.0,0.0,0.0
Emanuel Wilson,RB,RB/FLEX,GB,1,4200,0.0,0.0,0.0,0.0
Justice Hill,RB,RB/FLEX,BAL,1,4200,0.0,0.0,0.0,0.0
Ray Davis,RB,RB/FLEX,BUF,1,4200,0.0,0.0,0.0,0.0
DeAndre Hopkins,WR,WR/FLEX,BAL,1,4200,0.0,0.0,0.0,0.0
Roschon Johnson,RB,RB/FLEX,CHI,1,4200,0.0,0.0,0.0,0.0
Tanner McKee,QB,QB,PHI,1,4100,0.0,0.0,0.0,0.0
Jack Bech,WR,WR/FLEX,LV,1,4100,0.0,0.0,0.0,0.0
Jalen McMillan,WR,WR/FLEX,TB,1,4100,0.0,0.0,0.0,0.0
Riley Leonard,QB,QB,IND,1,4100,0.0,0.0,0.0,0.0
Michael Carter,RB,RB/FLEX,ARI,1,4100,0.0,0.0,0.0,0.0
Brandin Cooks,WR,WR/FLEX,NO,1,4100,0.0,0.0,0.0,0.0
Zach Ertz,TE,TE/FLEX,WAS,1,4100,0.0,0.0,0.0,0.0
Samaje Perine,RB,RB/FLEX,CIN,1,4100,0.0,0.0,0.0,0.0
Sam Howell,QB,QB,PHI,1,4000,0.0,0.0,0.0,0.0
Kyle McCord,QB,QB,PHI,1,4000,0.0,0.0,0.0,0.0
Will Grier,QB,QB,DAL,1,4000,0.0,0.0,0.0,0.0
A.J. Dillon,RB,RB/FLEX,PHI,1,4000,0.0,0.0,0.0,0.0
Ben VanSumeren,RB,RB/FLEX,PHI,1,4000,0.0,0.0,0.0,0.0
Malik Davis,RB,RB/FLEX,DAL,1,4000,0.0,0.0,0.0,0.0
Hunter Luepke,RB,RB/FLEX,DAL,1,4000,0.0,0.0,0.0,0.0
Dallas Goedert,TE,TE/FLEX,PHI,1,4000,0.0,0.0,0.0,0.0
DJ Uiagalelei,QB,QB,LAC,1,4000,0.0,0.0,0.0,0.0
Gardner Minshew II,QB,QB,KC,1,4000,0.0,0.0,0.0,0.0
Chris Oladokun,QB,QB,KC,1,4000,0.0,0.0,0.0,0.0
Hassan Haskins,RB,RB/FLEX,LAC,1,4000,0.0,0.0,0.0,0.0
Scott Matlock,RB,RB/FLEX,LAC,1,4000,0.0,0.0,0.0,0.0
Kimani Vidal,RB,RB/FLEX,LAC,1,4000,0.0,0.0,0.0,0.0
Nyheim Miller-Hines,RB,RB/FLEX,LAC,1,4000,0.0,0.0,0.0,0.0
Elijah Mitchell,RB,RB/FLEX,KC,1,4000,0.0,0.0,0.0,0.0
Brashard Smith,RB,RB/FLEX,KC,1,4000,0.0,0.0,0.0,0.0
Keaontay Ingram,RB,RB/FLEX,KC,1,4000,0.0,0.0,0.0,0.0
Carson Steele,RB,RB/FLEX,KC,1,4000,0.0,0.0,0.0,0.0
Hollywood Brown,WR,WR/FLEX,KC,1,4000,0.0,0.0,0.0,0.0
Tommy DeVito,QB,QB,NE,1,4000,0.0,0.0,0.0,0.0
Cam Miller,QB,QB,LV,1,4000,0.0,0.0,0.0,0.0
Lan Larison,RB,RB/FLEX,NE,1,4000,0.0,0.0,0.0,0.0
Deneric Prince,RB,RB/FLEX,NE,1,4000,0.0,0.0,0.0,0.0
Terrell Jennings,RB,RB/FLEX,NE,1,4000,0.0,0.0,0.0,0.0
Brock Lampe,RB,RB/FLEX,NE,1,4000,0.0,0.0,0.0,0.0
Zamir White,RB,RB/FLEX,LV,1,4000,0.0,0.0,0.0,0.0
Dylan Laube,RB,RB/FLEX,LV,1,4000,0.0,0.0,0.0,0.0
Chris Collier,RB,RB/FLEX,LV,1,4000,0.0,0.0,0.0,0.0
Will Howard,QB,QB,PIT,1,4000,0.0,0.0,0.0,0.0
Skylar Thompson,QB,QB,PIT,1,4000,0.0,0.0,0.0,0.0
Brady Cook,QB,QB,NYJ,1,4000,0.0,0.0,0.0,0.0
Max Hurleman,RB,RB/FLEX,PIT,1,4000,0.0,0.0,0.0,0.0
Trey Sermon,RB,RB/FLEX,PIT,1,4000,0.0,0.0,0.0,0.0
Lew Nichols,RB,RB/FLEX,PIT,1,4000,0.0,0.0,0.0,0.0
Isaiah Davis,RB,RB/FLEX,NYJ,1,4000,0.0,0.0,0.0,0.0
Kene Nwangwu,RB,RB/FLEX,NYJ,1,4000,0.0,0.0,0.0,0.0
Andrew Beck,RB,RB/FLEX,NYJ,1,4000,0.0,0.0,0.0,0.0
Teddy Bridgewater,QB,QB,TB,1,4000,0.0,0.0,0.0,0.0
Connor Bazelak,QB,QB,TB,1,4000,0.0,0.0,0.0,0.0
Emory Jones,QB,QB,ATL,1,4000,0.0,0.0,0.0,0.0
Easton Stick,QB,QB,ATL,1,4000,0.0,0.0,0.0,0.0
Sean Tucker,RB,RB/FLEX,TB,1,4000,0.0,0.0,0.0,0.0
Josh Williams,RB,RB/FLEX,TB,1,4000,0.0,0.0,0.0,0.0
Nathan Carter,RB,RB/FLEX,ATL,1,4000,0.0,0.0,0.0,0.0
Carlos Washington Jr.,RB,RB/FLEX,ATL,1,4000,0.0,0.0,0.0,0.0
Quinn Ewers,QB,QB,MIA,1,4000,0.0,0.0,0.0,0.0
Alec Ingold,RB,RB/FLEX,MIA,1,4000,0.0,0.0,0.0,0.0
Tyler Goodson,RB,RB/FLEX,IND,1,4000,0.0,0.0,0.0,0.0
Salvon Ahmed,RB,RB/FLEX,IND,1,4000,0.0,0.0,0.0,0.0
Ulysses Bentley IV,RB,RB/FLEX,IND,1,4000,0.0,0.0,0.0,0.0
JaMycal Hasty,RB,RB/FLEX,MIA,1,4000,0.0,0.0,0.0,0.0
Jeff Wilson Jr.,RB,RB/FLEX,MIA,1,4000,0.0,0.0,0.0,0.0
Hunter Dekkers,QB,QB,NO,1,4000,0.0,0.0,0.0,0.0
Emari Demercado,RB,RB/FLEX,ARI,1,4000,0.0,0.0,0.0,0.0
Zonovan Knight,RB,RB/FLEX,ARI,1,4000,0.0,0.0,0.0,0.0
Devin Neal,RB,RB/FLEX,NO,1,4000,0.0,0.0,0.0,0.0
Velus Jones Jr.,RB,RB/FLEX,NO,1,4000,0.0,0.0,0.0,0.0
Josh Johnson,QB,QB,WAS,1,4000,0.0,0.0,0.0,0.0
Sam Hartman,QB,QB,WAS,1,4000,0.0,0.0,0.0,0.0
Jacory Croskey-Merritt,RB,RB/FLEX,WAS,1,4000,0.0,0.0,0.0,0.0
Jeremy McNichols,RB,RB/FLEX,WAS,1,4000,0.0,0.0,0.0,0.0
Chris Rodriguez Jr.,RB,RB/FLEX,WAS,1,4000,0.0,0.0,0.0,0.0
Eric Gray,RB,RB/FLEX,NYG,1,4000,0.0,0.0,0.0,0.0
Dante Miller,RB,RB/FLEX,NYG,1,4000,0.0,0.0,0.0,0.0
Darius Slayton,WR,WR/FLEX,NYG,1,4000,0.0,0.0,0.0,0.0
Donovan Edwards,RB,RB/FLEX,WAS,1,4000,0.0,0.0,0.0,0.0
Seth Henigan,QB,QB,JAX,1,4000,0.0,0.0,0.0,0.0
LeQuint Allen Jr.,RB,RB/FLEX,JAX,1,4000,0.0,0.0,0.0,0.0
Ja'Quinden Jackson,RB,RB/FLEX,JAX,1,4000,0.0,0.0,0.0,0.0
Jonathon Brooks,RB,RB/FLEX,CAR,1,4000,0.0,0.0,0.0,0.0
Hendon Hooker,QB,QB,CAR,1,4000,0.0,0.0,0.0,0.0
Bailey Zappe,QB,QB,CLE,1,4000,0.0,0.0,0.0,0.0
Deshaun Watson,QB,QB,CLE,1,4000,0.0,0.0,0.0,0.0
Brett Rypien,QB,QB,CIN,1,4000,0.0,0.0,0.0,0.0
Raheim Sanders,RB,RB/FLEX,CLE,1,4000,0.0,0.0,0.0,0.0
Ahmani Marshall,RB,RB/FLEX,CLE,1,4000,0.0,0.0,0.0,0.0
Tahj Brooks,RB,RB/FLEX,CIN,1,4000,0.0,0.0,0.0,0.0
Kendall Milton,RB,RB/FLEX,CIN,1,4000,0.0,0.0,0.0,0.0
Gary Brightwell,RB,RB/FLEX,CIN,1,4000,0.0,0.0,0.0,0.0
Brandon Allen,QB,QB,TEN,1,4000,0.0,0.0,0.0,0.0
Will Levis,QB,QB,TEN,1,4000,0.0,0.0,0.0,0.0
Trevor Siemian,QB,QB,TEN,1,4000,0.0,0.0,0.0,0.0
Sam Ehlinger,QB,QB,DEN,1,4000,0.0,0.0,0.0,0.0
